make,model,variant,fuel,transmission,engine_cc,year_from,year_to,spec.General.Body type,spec.General.Seating capacity
Hyundai,Grand i10,Era,Diesel,Manual,1186,2013,2019,Hatchback,5
Hyundai,Grand i10,Magna,Diesel,Manual,1186,2013,2019,Hatchback,5
Hyundai,Grand i10,Sportz,Diesel,Manual,1186,2013,2019,Hatchback,5
Hyundai,Grand i10,Asta,Diesel,Manual,1186,2013,2019,Hatchback,5
Hyundai,Grand i10 Nios,Era,Petrol,Manual,1197,2019,2024,Hatchback,5
Hyundai,Grand i10 Nios,Magna,Petrol,Manual,1197,2019,2024,Hatchback,5
Hyundai,Grand i10 Nios,Sportz,Petrol,Manual,1197,2019,2024,Hatchback,5
Hyundai,Grand i10 Nios,Asta,Petrol,Manual,1197,2019,2024,Hatchback,5
Hyundai,Grand i10 Nios,Magna AMT,Petrol,Automatic,1197,2019,2024,Hatchback,5
Hyundai,Grand i10 Nios,Sportz AMT,Petrol,Automatic,1197,2019,2024,Hatchback,5
Hyundai,Grand i10 Nios,Era,Diesel,Manual,1186,2019,2022,Hatchback,5
Hyundai,Grand i10 Nios,Magna,Diesel,Manual,1186,2019,2022,Hatchback,5
Hyundai,Grand i10 Nios,Sportz,Diesel,Manual,1186,2019,2022,Hatchback,5
Hyundai,Grand i10 Nios,Asta,Diesel,Manual,1186,2019,2022,Hatchback,5
Hyundai,Creta,E+,Petrol,Manual,1591,2015,2019,SUV,5
Hyundai,Creta,S,Petrol,Manual,1591,2015,2019,SUV,5
Hyundai,Creta,SX,Petrol,Manual,1591,2015,2019,SUV,5
Hyundai,Creta,SX(O),Petrol,Manual,1591,2015,2019,SUV,5
Hyundai,Creta,E+,Diesel,Manual,1396,2015,2019,SUV,5
Hyundai,Creta,S,Diesel,Manual,1396,2015,2019,SUV,5
Hyundai,Creta,SX,Diesel,Manual,1396,2015,2019,SUV,5
Hyundai,Creta,SX+,Diesel,Manual,1582,2015,2019,SUV,5
Hyundai,Creta,SX(O),Diesel,Manual,1582,2015,2019,SUV,5
Hyundai,Creta,SX+ AT,Diesel,Automatic,1582,2015,2019,SUV,5
Hyundai,Creta,SX(O) AT,Diesel,Automatic,1582,2015,2019,SUV,5
Hyundai,Creta,E,Petrol,Manual,1497,2020,2024,SUV,5
Hyundai,Creta,EX,Petrol,Manual,1497,2020,2024,SUV,5
Hyundai,Creta,S,Petrol,Manual,1497,2020,2024,SUV,5
Hyundai,Creta,SX,Petrol,Manual,1497,2020,2024,SUV,5
Hyundai,Creta,SX(O),Petrol,Manual,1497,2020,2024,SUV,5
Hyundai,Creta,E,Diesel,Manual,1493,2020,2024,SUV,5
Hyundai,Creta,EX,Diesel,Manual,1493,2020,2024,SUV,5
Hyundai,Creta,S,Diesel,Manual,1493,2020,2024,SUV,5
Hyundai,Creta,SX,Diesel,Manual,1493,2020,2024,SUV,5
Hyundai,Creta,SX(O),Diesel,Manual,1493,2020,2024,SUV,5
Hyundai,Creta,SX AT,Diesel,Automatic,1493,2020,2024,SUV,5
Hyundai,Creta,SX(O) AT,Diesel,Automatic,1493,2020,2024,SUV,5
Hyundai,Verna,1.4 EX,Petrol,Manual,1396,2011,2017,Sedan,5
Hyundai,Verna,1.4 SX,Petrol,Manual,1396,2011,2017,Sedan,5
Hyundai,Verna,1.6 SX,Petrol,Manual,1591,2011,2017,Sedan,5
Hyundai,Verna,1.6 SX(O),Petrol,Manual,1591,2011,2017,Sedan,5
Hyundai,Verna,1.6 SX,Diesel,Manual,1582,2011,2017,Sedan,5
Hyundai,Verna,1.6 SX(O),Diesel,Manual,1582,2011,2017,Sedan,5
Hyundai,Verna,EX,Petrol,Manual,1497,2017,2019,Sedan,5
Hyundai,Verna,SX,Petrol,Manual,1497,2017,2019,Sedan,5
Hyundai,Verna,SX+,Petrol,Manual,1497,2017,2019,Sedan,5
Hyundai,Verna,EX,Diesel,Manual,1582,2017,2019,Sedan,5
Hyundai,Verna,SX,Diesel,Manual,1582,2017,2019,Sedan,5
Hyundai,Verna,SX+,Diesel,Manual,1582,2017,2019,Sedan,5
Hyundai,Verna,SX(O),Diesel,Manual,1582,2017,2019,Sedan,5
Hyundai,Verna,S,Petrol,Manual,1497,2020,2024,Sedan,5
Hyundai,Verna,SX,Petrol,Manual,1497,2020,2024,Sedan,5
Hyundai,Verna,SX(O),Petrol,Manual,1497,2020,2024,Sedan,5
Hyundai,Venue,E,Petrol,Manual,1197,2019,2024,SUV,5
Hyundai,Venue,S,Petrol,Manual,1197,2019,2024,SUV,5
Hyundai,Venue,SX,Petrol,Manual,1197,2019,2024,SUV,5
Hyundai,Venue,SX(O),Petrol,Manual,1197,2019,2024,SUV,5
Hyundai,Venue,SX DCT,Petrol,Automatic,998,2019,2024,SUV,5
Hyundai,Venue,SX(O) DCT,Petrol,Automatic,998,2019,2024,SUV,5
Hyundai,Venue,S,Diesel,Manual,1493,2019,2024,SUV,5
Hyundai,Venue,SX,Diesel,Manual,1493,2019,2024,SUV,5
Hyundai,Venue,SX(O),Diesel,Manual,1493,2019,2024,SUV,5
Hyundai,Eon,D-Lite,Petrol,Manual,814,2011,2019,Hatchback,5
Hyundai,Eon,Era,Petrol,Manual,814,2011,2019,Hatchback,5
Hyundai,Eon,Magna,Petrol,Manual,814,2011,2019,Hatchback,5
Hyundai,Eon,Sportz,Petrol,Manual,814,2011,2019,Hatchback,5
Hyundai,Santro,D-Lite,Petrol,Manual,1086,2018,2022,Hatchback,5
Hyundai,Santro,Era,Petrol,Manual,1086,2018,2022,Hatchback,5
Hyundai,Santro,Magna,Petrol,Manual,1086,2018,2022,Hatchback,5
Hyundai,Santro,Sportz,Petrol,Manual,1086,2018,2022,Hatchback,5
Hyundai,Santro,Asta,Petrol,Manual,1086,2018,2022,Hatchback,5
Hyundai,Santro,Magna AMT,Petrol,Automatic,1086,2018,2022,Hatchback,5
Hyundai,Santro,Sportz AMT,Petrol,Automatic,1086,2018,2022,Hatchback,5
Hyundai,Aura,E,Petrol,Manual,1197,2020,2024,Sedan,5
Hyundai,Aura,S,Petrol,Manual,1197,2020,2024,Sedan,5
Hyundai,Aura,SX,Petrol,Manual,1197,2020,2024,Sedan,5
Hyundai,Aura,SX(O),Petrol,Manual,1197,2020,2024,Sedan,5
Hyundai,Aura,S,Diesel,Manual,1186,2020,2023,Sedan,5
Hyundai,Aura,SX,Diesel,Manual,1186,2020,2023,Sedan,5
Hyundai,Aura,SX(O),Diesel,Manual,1186,2020,2023,Sedan,5
Hyundai,Xcent,Base,Petrol,Manual,1197,2014,2019,Sedan,5
Hyundai,Xcent,S,Petrol,Manual,1197,2014,2019,Sedan,5
Hyundai,Xcent,SX,Petrol,Manual,1197,2014,2019,Sedan,5
Hyundai,Xcent,SX(O),Petrol,Manual,1197,2014,2019,Sedan,5
Hyundai,Xcent,Base,Diesel,Manual,1186,2014,2019,Sedan,5
Hyundai,Xcent,S,Diesel,Manual,1186,2014,2019,Sedan,5
Hyundai,Xcent,SX,Diesel,Manual,1186,2014,2019,Sedan,5
Hyundai,Xcent,SX(O),Diesel,Manual,1186,2014,2019,Sedan,5
Honda,City,S,Petrol,Manual,1497,2014,2019,Sedan,5
Honda,City,SV,Petrol,Manual,1497,2014,2019,Sedan,5
Honda,City,V,Petrol,Manual,1497,2014,2019,Sedan,5
Honda,City,VX,Petrol,Manual,1497,2014,2019,Sedan,5
Honda,City,ZX,Petrol,Manual,1497,2014,2019,Sedan,5
Honda,City,V CVT,Petrol,Automatic,1497,2014,2019,Sedan,5
Honda,City,VX CVT,Petrol,Automatic,1497,2014,2019,Sedan,5
Honda,City,ZX CVT,Petrol,Automatic,1497,2014,2019,Sedan,5
Honda,City,S,Diesel,Manual,1498,2014,2019,Sedan,5
Honda,City,SV,Diesel,Manual,1498,2014,2019,Sedan,5
Honda,City,V,Diesel,Manual,1498,2014,2019,Sedan,5
Honda,City,VX,Diesel,Manual,1498,2014,2019,Sedan,5
Honda,City,ZX,Diesel,Manual,1498,2014,2019,Sedan,5
Honda,City,SV,Petrol,Manual,1498,2020,2024,Sedan,5
Honda,City,V,Petrol,Manual,1498,2020,2024,Sedan,5
Honda,City,VX,Petrol,Manual,1498,2020,2024,Sedan,5
Honda,City,ZX,Petrol,Manual,1498,2020,2024,Sedan,5
Honda,City,V CVT,Petrol,Automatic,1498,2020,2024,Sedan,5
Honda,City,VX CVT,Petrol,Automatic,1498,2020,2024,Sedan,5
Honda,City,ZX CVT,Petrol,Automatic,1498,2020,2024,Sedan,5
Honda,City,V,Diesel,Manual,1498,2020,2023,Sedan,5
Honda,City,VX,Diesel,Manual,1498,2020,2023,Sedan,5
Honda,City,ZX,Diesel,Manual,1498,2020,2023,Sedan,5
Honda,Amaze,E,Petrol,Manual,1198,2013,2018,Sedan,5
Honda,Amaze,S,Petrol,Manual,1198,2013,2018,Sedan,5
Honda,Amaze,V,Petrol,Manual,1198,2013,2018,Sedan,5
Honda,Amaze,VX,Petrol,Manual,1198,2013,2018,Sedan,5
Honda,Amaze,E,Diesel,Manual,1498,2013,2018,Sedan,5
Honda,Amaze,S,Diesel,Manual,1498,2013,2018,Sedan,5
Honda,Amaze,V,Diesel,Manual,1498,2013,2018,Sedan,5
Honda,Amaze,VX,Diesel,Manual,1498,2013,2018,Sedan,5
Honda,Amaze,E,Petrol,Manual,1199,2018,2024,Sedan,5
Honda,Amaze,S,Petrol,Manual,1199,2018,2024,Sedan,5
Honda,Amaze,V,Petrol,Manual,1199,2018,2024,Sedan,5
Honda,Amaze,VX,Petrol,Manual,1199,2018,2024,Sedan,5
Honda,Amaze,E,Diesel,Manual,1498,2018,2024,Sedan,5
Honda,Amaze,S,Diesel,Manual,1498,2018,2024,Sedan,5
Honda,Amaze,V,Diesel,Manual,1498,2018,2024,Sedan,5
Honda,Amaze,VX,Diesel,Manual,1498,2018,2024,Sedan,5
Honda,Jazz,S,Petrol,Manual,1199,2015,2020,Hatchback,5
Honda,Jazz,V,Petrol,Manual,1199,2015,2020,Hatchback,5
Honda,Jazz,VX,Petrol,Manual,1199,2015,2020,Hatchback,5
Honda,Jazz,V CVT,Petrol,Automatic,1199,2015,2020,Hatchback,5
Honda,Jazz,VX CVT,Petrol,Automatic,1199,2015,2020,Hatchback,5
Honda,Jazz,S,Diesel,Manual,1498,2015,2020,Hatchback,5
Honda,Jazz,V,Diesel,Manual,1498,2015,2020,Hatchback,5
Honda,Jazz,VX,Diesel,Manual,1498,2015,2020,Hatchback,5
Honda,WR-V,S,Petrol,Manual,1199,2017,2023,SUV,5
Honda,WR-V,VX,Petrol,Manual,1199,2017,2023,SUV,5
Honda,WR-V,S,Diesel,Manual,1498,2017,2023,SUV,5
Honda,WR-V,VX,Diesel,Manual,1498,2017,2023,SUV,5
Honda,Brio,E,Petrol,Manual,1198,2011,2019,Hatchback,5
Honda,Brio,S,Petrol,Manual,1198,2011,2019,Hatchback,5
Honda,Brio,V,Petrol,Manual,1198,2011,2019,Hatchback,5
Honda,Brio,VX,Petrol,Manual,1198,2011,2019,Hatchback,5
Tata,Nexon,XE,Petrol,Manual,1198,2017,2023,SUV,5
Tata,Nexon,XM,Petrol,Manual,1198,2017,2023,SUV,5
Tata,Nexon,XT,Petrol,Manual,1198,2017,2023,SUV,5
Tata,Nexon,XZ,Petrol,Manual,1198,2017,2023,SUV,5
Tata,Nexon,XZ+,Petrol,Manual,1198,2017,2023,SUV,5
Tata,Nexon,XZA+,Petrol,Automatic,1198,2018,2023,SUV,5
Tata,Nexon,XMA,Petrol,Automatic,1198,2018,2023,SUV,5
Tata,Nexon,XE,Diesel,Manual,1497,2017,2023,SUV,5
Tata,Nexon,XM,Diesel,Manual,1497,2017,2023,SUV,5
Tata,Nexon,XT,Diesel,Manual,1497,2017,2023,SUV,5
Tata,Nexon,XZ,Diesel,Manual,1497,2017,2023,SUV,5
Tata,Nexon,XZ+,Diesel,Manual,1497,2017,2023,SUV,5
Tata,Tiago,XE,Petrol,Manual,1199,2016,2024,Hatchback,5
Tata,Tiago,XM,Petrol,Manual,1199,2016,2024,Hatchback,5
Tata,Tiago,XT,Petrol,Manual,1199,2016,2024,Hatchback,5
Tata,Tiago,XZ,Petrol,Manual,1199,2016,2024,Hatchback,5
Tata,Tiago,XZ+,Petrol,Manual,1199,2016,2024,Hatchback,5
Tata,Tiago,XTA,Petrol,Automatic,1199,2016,2024,Hatchback,5
Tata,Tiago,XZA,Petrol,Automatic,1199,2016,2024,Hatchback,5
Tata,Tiago,XZA+,Petrol,Automatic,1199,2016,2024,Hatchback,5
Tata,Tiago,XE,Diesel,Manual,1047,2016,2019,Hatchback,5
Tata,Tiago,XM,Diesel,Manual,1047,2016,2019,Hatchback,5
Tata,Tiago,XT,Diesel,Manual,1047,2016,2019,Hatchback,5
Tata,Tiago,XZ,Diesel,Manual,1047,2016,2019,Hatchback,5
Tata,Tigor,XE,Petrol,Manual,1199,2017,2024,Sedan,5
Tata,Tigor,XM,Petrol,Manual,1199,2017,2024,Sedan,5
Tata,Tigor,XT,Petrol,Manual,1199,2017,2024,Sedan,5
Tata,Tigor,XZ,Petrol,Manual,1199,2017,2024,Sedan,5
Tata,Tigor,XZ+,Petrol,Manual,1199,2017,2024,Sedan,5
Tata,Tigor,XZA,Petrol,Automatic,1199,2017,2024,Sedan,5
Tata,Tigor,XZA+,Petrol,Automatic,1199,2017,2024,Sedan,5
Tata,Tigor,XE,Diesel,Manual,1047,2017,2019,Sedan,5
